experiment,run_id,run_name,status,start_time,end_time,param__eval_end,param__eval_start,param__feature_count,param__fold,param__model,param__train_end,metric__average_precision,metric__brier,metric__mean_predicted_risk,metric__observed_delinquency_rate,metric__roc_auc,metric__top20_capture,param__config_id,param__max_depth,param__max_features,param__min_samples_leaf,param__learning_rate,param__min_child_weight,param__development_end,param__final_holdout,param__holdout_end,param__holdout_start,metric__calibration_in_the_large_error,metric__development_mean_roc_auc,metric__prevalence_baseline_brier,metric__roc_auc_drop_vs_development,param__calibration_days,param__calibration_method,param__development_only,metric__abs_calibration_gap,metric__ece_10bin,param__calibration_end,param__calibration_start,param__confirmatory_only,param__method
module4_model_tuning,2cef297972224b84a589a37f91cb96db,xgboost_04_early_july,FINISHED,2026-09-18 12:24:32.167000+00:00,2026-09-18 12:24:34.934000+00:00,,,12,early_july,xgboost,,0.5482569310620347,0.14499346911907196,,,0.8434297119902827,0.5856052344601963,xgboost_04,4,,,0.03,10,,,,,,,,,,,,,,,,,
module4_final_holdout_evaluation,9c6dd0dc490f49cf8e52de3afcb919b2,logistic_regression_final_holdout,FINISHED,2026-09-18 12:29:20.455000+00:00,2026-09-18 12:29:21.871000+00:00,,,12,,logistic_regression,,0.4825241657998358,0.18079513209141926,0.39658821153917084,0.20779810108908126,0.8015669043254929,0.5071392575172182,,,,,,,2016-07-13,True,2016-07-23,2016-07-14,0.1887901104500896,0.801738,0.16640835366193293,0.0001710956745070158,,,,,,,,,
module4_final_holdout_evaluation,49f5d07b01034d028ada579d44c4251f,random_forest_final_holdout,FINISHED,2026-09-18 12:29:21.904000+00:00,2026-09-18 12:29:42.466000+00:00,,,12,,random_forest,,0.5806827041741648,0.14895896052082072,0.36565499472992824,0.20779810108908126,0.8308411890794554,0.5419116411893163,,,,,,,2016-07-13,True,2016-07-23,2016-07-14,0.15785689364084698,0.871091,0.16640835366193293,0.04024981092054458,,,,,,,,,
module4_final_holdout_evaluation,b2ddcbac7cbd4e2ca7ee960af855b512,xgboost_final_holdout,FINISHED,2026-09-18 12:29:42.486000+00:00,2026-09-18 12:29:45.564000+00:00,,,12,,xgboost,,0.5822111329614802,0.1548139750957489,0.3717016875743866,0.20779810108908126,0.8316420575406225,0.5504787502099782,,,,,,,2016-07-13,True,2016-07-23,2016-07-14,0.16390358648530534,0.868756,0.16640835366193293,0.03711394245937749,,,,,,,,,
module4_final_holdout_evaluation,3693b2ba4744421a8f16976bd7fcfada,logistic_regression_final_holdout,FINISHED,2026-09-18 13:00:23.868000+00:00,2026-09-18 13:00:25.027000+00:00,,,12,,logistic_regression,,0.4825241657998358,0.18079513209141926,0.39658821153917084,0.20779810108908126,0.8015669043254929,0.5071392575172182,,,,,,,2016-07-13,True,2016-07-23,2016-07-14,0.1887901104500896,0.801738,0.16640835366193293,0.0001710956745070158,,,,,,,,,
module4_final_holdout_evaluation,ad91333537c642598ecdf61e856b2a4d,random_forest_final_holdout,FINISHED,2026-09-18 13:00:25.050000+00:00,2026-09-18 13:00:44.781000+00:00,,,12,,random_forest,,0.5806827041741648,0.14895896052082072,0.36565499472992824,0.20779810108908126,0.8308411890794554,0.5419116411893163,,,,,,,2016-07-13,True,2016-07-23,2016-07-14,0.15785689364084698,0.871091,0.16640835366193293,0.04024981092054458,,,,,,,,,
module4_final_holdout_evaluation,196a8b3db3934edb8e9c047ab21fbdff,xgboost_final_holdout,FINISHED,2026-09-18 13:00:44.798000+00:00,2026-09-18 13:00:47.985000+00:00,,,12,,xgboost,,0.5822111329614802,0.1548139750957489,0.3717016875743866,0.20779810108908126,0.8316420575406225,0.5504787502099782,,,,,,,2016-07-13,True,2016-07-23,2016-07-14,0.16390358648530534,0.868756,0.16640835366193293,0.03711394245937749,,,,,,,,,
module4_development_calibration,ad10621dca3a426e87f6d9d7397035f5,random_forest_uncalibrated_late_june,FINISHED,2026-09-18 13:05:53.654000+00:00,2026-09-18 13:05:53.798000+00:00,,,12,late_june,random_forest,,0.6616914072195115,0.08841595522225916,0.11511033633782461,0.16468119669689996,0.8233686083363448,0.6426222770242499,,,,,,,,,,,,,,,7,uncalibrated,True,0.04957086035907535,0.05680864770133152,,,,
module4_development_calibration,1ba03567bcb6477592d82f0fbd7630bf,random_forest_platt_late_june,FINISHED,2026-09-18 13:05:53.869000+00:00,2026-09-18 13:05:53.948000+00:00,,,12,late_june,random_forest,,0.6616914072195115,0.08602477890448017,0.1343323510314194,0.16468119669689996,0.8233686083363448,0.6426222770242499,,,,,,,,,,,,,,,7,platt,True,0.030348845665480545,0.04043638680957391,,,,
module4_development_calibration,57c82f95e5384c289d82792b9ef85ad9,random_forest_isotonic_late_june,FINISHED,2026-09-18 13:05:53.996000+00:00,2026-09-18 13:05:54.080000+00:00,,,12,late_june,random_forest,,0.646801796048643,0.0859102317654568,0.1320897572710978,0.16468119669689996,0.8226240075444821,0.6391286477599671,,,,,,,,,,,,,,,7,isotonic,True,0.03259143942580214,0.04048333287553444,,,,
